PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PCT_INHIB_DD2
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percent inhibition of P. falciparum Dd2 growth.
RESULT_UNIT,,,,,,,,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,,2
1,85857918,11957475,C1CN(CCN1CC(C(C2=CC=CC=C2)C3=CC=CC=C3)O)C4=CC(=CC=C4)Cl.Cl,Inactive,,,,4
2,85857919,6618861,C1CN(CC=C1C2=CNC3=CC=CC=C32)CC4=CC=CC=C4,Active,,,,80
3,85857920,21924871,C1=CC(=CC=C1C2=CC3=C(N2)C=C(C=C3)C(=N)N)C(=N)N.Cl,Active,,,,99
4,85857921,1365597,C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)N)N,Active,,,,96
5,85857922,10115148,C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)Cl)Cl,Active,,,,99
6,85857923,2540886,C1=CC=NC(=C1)CCNC2=C3C=CC(=CC3=NC=C2)Cl,Active,,,,72
7,85857924,336473,CC(=O)C1C(=O)CCC1=O,Inactive,,,,2
8,85857925,44521947,COC(=O)C1=C(C=C(C=C1)OCC(CO)O)O,Inactive,,,,23
9,85857926,13698519,CC1=C(C(=O)C2=CC=CC=C2N1)[N+](=O)[O-],Inactive,,,,-2
10,85857927,597035,COC1=CC(=C(C=C1)C(=O)CC(=O)C2=C(C=C(C=C2)OC)OC)OC,Inactive,,,,-2
11,85857928,44521948,CN(C)CCC=C1C2=CC=CC=C2SC3=C1C=C(C=C3O)Cl.C(=C\C(=O)O)\C(=O)O,Active,,,,80
12,85857929,44521949,C1CN(CCN1CCO)C2CC3=C(C=C(C=C3)F)SC4=C2C=C(C=C4)Cl.C(=C\C(=O)O)\C(=O)O,Inactive,,,,26
13,85857930,135454173,CC1=CC(=O)NC(=N1)NC#N,Inactive,,,,3
14,85857931,81448,CN1C(=C(C(=O)NC1=O)N=O)N,Active,,,,82
15,85857932,250735,CC(C)CN1C(=CC(=O)N(C1=O)C)N,Inactive,,,,0
16,85857933,23437061,C1=CC(=CC=C1OCCCON)Cl.Cl,Inactive,,,,0
17,85857934,44521950,COC1=CC=C(C=C1)OCCCON.Cl,Inactive,,,,-3
18,85857935,44521951,COC1=CC=C(C=C1)OCCON.Cl,Inactive,,,,-3
19,85857936,44521952,C1=CC=C(C=C1)OCCCON.Cl,Inactive,,,,-4
20,85857937,3005983,CC(=NNC(=S)NC)C1=CC=CC=N1,Active,,,,99
21,85857938,23133323,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC.Cl,Inactive,,,,16
22,85857939,1885106,CC1=CC(=C2C=C(C=CC2=N1)OC)NC3=CC(=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,Active,,,,100
23,85857940,670727,CC1=CC(=NO1)NC(=O)C2=CC=C(C=C2)C3=CC=CC=C3,Active,,,,57
24,85857941,2815187,CCC1=CC=C(C=C1)C(=O)NC(=O)C2=CC=CC=C2O,Active,,,,84
25,85857942,2812808,C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)N3C=CC(=N3)C(F)(F)F,Active,,,,85
26,85857943,364462,C1C2CC3CC1CC(C2)(C3)NC(=O)C(=O)C4=CNC5=CC=CC=C54,Inactive,,,,2
27,85857944,16219340,CC[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](C3=C4C=C(C=CC4=NC=C3)OCC)O.Cl,Active,,,,99
28,85857945,91558,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.Cl,Active,,,,99
29,85857946,21125220,CC[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](C3=C4C=C(C=CC4=NC=C3)OC)O.Br,Active,,,,62
30,85857947,1160282,C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)CC4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)N)N,Active,,,,96
31,85857948,2728436,CN(C)CCNC1=CC(=NC2=C1C=C(C=C2)OC)C3=CC=CC=C3,Inactive,,,,23
32,85857949,2852748,CC(=O)OCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCOC(=O)C)C1=O,Inactive,,,,1
33,85857950,2823087,C1=CC(=CC(=C1)NC(=O)NC2=CC3=NON=C3C=C2)C(F)(F)F,Active,,,,76
34,85857951,2189542,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)N=NC(=O)C2=CC=NC=C2,Active,,,,99
35,85857952,3136637,C1=CC=C(C=C1)N2C(=O)C(=CC3=CC(=C(C=C3)O)O)SC2=O,Inactive,,,,17
36,85857953,2807151,C1=CC=C(C=C1)C2(C3=C(C=CC(=C3)Cl)N=C2N)O,Active,,,,51
37,85857954,5891,CN(C)C1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)NC(=O)[C@@H](CC4=CC=C(C=C4)OC)N)O,Active,,,,100
38,85857955,598489,C1=CC=C2C=C(C(=CC2=C1)C(=O)NC3=CC=CC=C3Cl)O,Active,,,,72
39,85857956,1486555,CC1=C(C(=O)N(N1)C2=CC(=CC=C2)Cl)C3=CC=C(C=C3)Cl,Inactive,,,,41
40,85857957,2840397,C1=CC=C(C=C1)C2C3=C(C4=CC=CC=C4C3=O)NC5=CC=CC=C5S2,Active,,,,94
41,85857958,3102205,CCOC(=O)C1=C(NC2=C(C1C3=CC=C(C=C3)Cl)C(=O)CC(C2)(C)C)C,Active,,,,84
42,85857959,182786,CCN(CC)CCNC1=CC=C(C=C1)NC2=CC=NC3=CC4=CC=CC=C4C=C23,Active,,,,99
43,85857960,182807,CCN1CCCC(C1)NC2=CC=NC3=CC4=CC=CC=C4C=C23,Active,,,,100
44,85857961,1718804,C1=CC=C(C=C1)OCCOC2=CC=C(C=C2)NC3=CC=NC4=CC5=CC=CC=C5C=C34,Active,,,,96
45,85857962,741602,CC1=C(C=C(C=C1)NC2=CC(=NC3=NC=NN23)C)Cl,Active,,,,91
46,85857963,3808173,CCC(C)NCC(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O,Active,,,,76
47,85857964,1241591,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)NC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F,Inactive,,,,15
48,85857965,2870225,C1CCC2=C(C1)C(=O)C3=C(N2)C=C(C=C3)Cl,Active,,,,73
49,85857966,2832014,C1CCN(CC1)C2=CC=C(C=C2)NC3=CC=NC4=CC5=CC=CC=C5C=C34,Inactive,,,,36
50,85857967,2851165,COC1=C(C=CC(=C1)C=NNC2=C3C=CC(=CC3=NC=C2)Cl)O,Active,,,,100
51,85857968,738986,C1=CC=C2C(=C1)NC(=N2)C3=NC(=CC=C3)C4=NC5=CC=CC=C5N4,Inactive,,,,24
52,85857969,1471585,C1C(=O)C2=C(O1)C=CC3=CC=CC=C32,Inactive,,,,3
53,85857970,2826657,C1=CC=NC(=C1)C=NNC(=S)NC2=CC=CC(=C2)C(F)(F)F,Active,,,,99
54,85857971,44521953,C1=CC=C(C(=C1)NC2=NC(=NC=C2[N+](=O)[O-])NC3=CC=CC=C3O)O.C(=O)(C(F)(F)F)O,Active,,,,80
55,85857972,2211551,C1=CC(=CC(=C1)[N+](=O)[O-])NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F,Active,,,,87
56,85857973,17520632,COC1=CC=C(C=C1)S(=O)(=O)N2CCC(CC2)NS(=O)(=O)C3=CC=C(C=C3)F,Inactive,,,,-3
57,85857974,17362734,C1CC(OC1)CNC(=O)CCOC2=CC=CC=C2,Inactive,,,,-11
58,85857975,2807205,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3=CC(=C(C=C3Cl)Cl)Cl,Active,,,,57
59,85857976,612761,C1=CC(=CC=C1C2=C(C=NN2)C=C3C(=O)N(C(=N)S3)C4=NC=CS4)F,Unspecified,,,,
60,85857977,2881787,C1CCN(CC1)CCN2C3=CC=CC=C3N(C2=N)CC(=O)C4=CC(=CC=C4)[N+](=O)[O-].Br,Inactive,,,,0
61,85857978,3581298,C1=CC=C2C=C(C(=CC2=C1)C(=O)NC3=C(C=C(C=C3)[N+](=O)[O-])Cl)O,Inactive,,,,28
62,85857979,783341,CC1=CC(=C(C=C1)C)N2CCN(CC2)CC3=CC=CC=C3O,Active,,,,90
63,85857980,2796066,C1CCN(CC1)CC(COC2=CC=C(C=C2)NC(=O)NC3=CC=C(C=C3)Cl)O,Inactive,,,,13
64,85857981,1376743,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)NC2=CC(=C(C=C2)Br)C(F)(F)F,Inactive,,,,3
65,85857982,2824465,CN(C)C1=NC2=CC=CC=C2C(=C1)NC(=O)NC3=CC=CC=C3,Active,,,,98
66,85857983,1069125,CC1(N=C(N=C(N1C2=CC(=C(C=C2)OC3=CC=C(C=C3)Cl)Cl)N)N)C,Inactive,,,,20
67,85857984,16799558,CC1=C(N=C(S1)NC(=O)CS(=O)(=O)C2=CC=C(C=C2)F)C3=CC=C(C=C3)OC,Active,,,,99
68,85857985,7254450,CCOC1=CC=C(C=C1)C2=C(SC(=N2)NC(=O)CS(=O)(=O)C3=CC=CC=C3)C,Active,,,,59
69,85857986,7254448,CC1=C(N=C(S1)NC(=O)CS(=O)(=O)C2=CC=CC=C2)C3=CC=C(C=C3)OC,Active,,,,82
70,85857987,7244566,CN1C2=CC(=C(C=C2SC1=NC(=O)C3=CC(=CC=C3)[N+](=O)[O-])OC)OC,Active,,,,79
71,85857988,1088564,CCC1=C2C(=CC=C1)C(=CN2CC(=O)NC3=CC=C(C=C3)OC)C#N,Active,,,,76
72,85857989,647315,C1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=NC=NN3)Cl,Active,,,,93
73,85857990,1432799,CC(=O)NC1=CC(=CC=C1)NC(=O)CSC2=NC=C(C=C2)C3=NC4=CC=CC=C4N3,Active,,,,73
74,85857991,3229307,CC(C)(C)N1C(=NN=N1)C(C2=CN=CC=C2)N(CC3=CC=CC=C3)CC4=CC=C(C=C4)Cl,Inactive,,,,17
75,85857992,1428109,COC1=CC(=C(C=C1NC(=O)C2=CC=CS2)OC)NC(=O)NC3=CC(=CC=C3)Cl,Inactive,,,,10
76,85857993,6602552,C1CCN(C1)C2=NC(=NC3=CC=CC=C32)NC4=CC=C(C=C4)O.Cl,Active,,,,100
77,85857994,44521954,CC1(N=C(NC(=N1)NC2=CC(=C(C=C2)F)F)N)C.Cl,Inactive,,,,1
78,85857995,3175555,COC1=CC2=C(C=C1)C=C(C(=O)N2)C(C3=NN=NN3CC4CCCO4)N5CCC6=CC=CC=C65,Inactive,,,,3
79,85857996,2920941,COCCNCC(CN1C2=C(C=C(C=C2)Cl)C3=C1C=CC(=C3)Cl)O,Active,,,,74
80,85857997,3138165,C1CC1NC2=C(C=CC(=C2)N3CCN(CC3)C(=O)C4=CC(=CC=C4)Br)[N+](=O)[O-],Active,,,,100
81,85857998,2929506,C1=CC=C(C=C1)CCC(=O)NC(C2=CC=C(C=C2)Cl)C3=C(C4=C(C=CC=N4)C=C3)O,Inactive,,,,49
82,85857999,44521955,C1COCCN1C2=CC=CC=C2NC(=O)C3=C(OC=N3)C4=CC=CC=C4C(F)(F)F,Active,,,,60
83,85858000,44521956,CCN1C(=NN=C1SC)C2CCCN(C2)CC(=O)NC3=NC4=C(S3)C=C(C=C4)OC,Active,,,,81
84,85858001,3232001,CCN1C(=NN=C1SCC)C2CCCN(C2)CC(=O)NC3=C(C=CC(=C3)C(F)(F)F)Cl,Active,,,,96
85,85858002,44521957,COC1=CC(=CC(=C1OC)OC)C=CC(=O)N2CCC3(CC2)CC(=O)C4=CC=CC=C4O3,Active,,,,66
86,85858003,7243946,COC1=CC=CC(=C1OC)C(=O)NC2=C(C3=C(S2)CCCC3)C(=O)N,Inactive,,,,8
87,85858004,4521599,COC1=CC=C(C=C1)NC(=O)CSC2=NC(=NS2)C3=CC=CC=C3Cl,Active,,,,75
88,85858005,4521598,COC1=CC=CC(=C1)NC(=O)CSC2=NC(=NS2)C3=CC=CC=C3Cl,Active,,,,100
89,85858006,22583663,COC1=CC(=C(C=C1)N2C=CN=C2SCC(=O)NC3=CC=CC(=C3)C(F)(F)F)OC,Active,,,,88
90,85858007,7150934,COC1=CC=CC=C1N2C=CN=C2SCC(=O)NC3=CC=CC(=C3)C(F)(F)F,Active,,,,96
91,85858008,7189756,CC1=CC(=NO1)NC(=O)C2=CC=C(C=C2)S(=O)(=O)N(CC3=CC=CC=C3)C(C)C,Active,,,,67
92,85858009,2524804,CCCN1C(=O)NN=C1SCC(=O)NC2=C(C=CC(=C2)Cl)Cl,Active,,,,53
93,85858010,2577729,CCOC1=C(C(=CC(=C1)C(=O)NC2=CN=CC=C2)Br)OCCC(C)C,Active,,,,51
94,85858011,4782951,C1=CC=C(C=C1)CC2=CC=CC=C2NC(=O)C3=CC=CC=C3C(F)(F)F,Active,,,,85
95,85858012,135515948,CC(C)(C)C1=NN(C2=C1C=C(C(=O)N2)CNC3CCCCC3)C4=CC=CC=C4,Active,,,,76
96,85858013,4884800,COC1=C(C=C(C=C1)C2CC(=NN2C(=O)CNC3=CC=CC=C3F)C4=CC=CS4)OC,Inactive,,,,45
97,85858014,4884544,CC1=C(C=C(C=C1)NCC(=O)NC2=CC(=C(C=C2)F)Cl)S(=O)(=O)N3CCOCC3,Active,,,,97
98,85858015,2534555,CC(=O)C1=CC=CC=C1OCCSC2=NN=C(N2C3CCCCC3)CC4=CC=CS4,Inactive,,,,1
99,85858016,4875749,CC(C(=O)N1CCC2=CC=CC=C21)OC3=CC=C(C=C3)C(=O)C4=CC=C(C=C4)F,Active,,,,95
100,85858017,4876676,CCOC1=C(C=C(C=C1)C(C)NC(=O)NC2=CC=CC=C2)OCC,Active,,,,95
101,85858018,44521958,C1=CC=C(C=C1)CN2C(=O)NN=C2SCC(=O)NC3=CC=CC=C3C4=CC=CC=C4,Inactive,,,,36
102,85858019,2527099,CC1=C(SC2=C1C(=NC(=N2)C)SCC(=O)N3CCCC3=O)C,Inactive,,,,0
103,85858020,4883277,CC(C(=O)NC1=C(C=CC(=C1)Cl)OC)NC2=CC=C(C=C2)C3=CC=CC=C3,Active,,,,89
104,85858021,2481226,CC1=CC(=C(C=C1)N2C(=NN=C2SCCC#N)CC3=CC=CC4=CC=CC=C43)C,Active,,,,98
105,85858022,4882738,CN(C)S(=O)(=O)C1=CC=C(C=C1)C(=O)N(C2CCCCC2)C3=NC(=CS3)C4=CC=CC=C4,Inactive,,,,46
106,85858023,4881723,CC(C(=O)N1CCCC1)N2CCN(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4,Active,,,,56
107,85858024,4883549,CC1=CC=C(C=C1)N2C(=CC(=C2C)C(=O)CN3C(=O)C(NC3=O)CC4=CC=CC=C4)C,Unspecified,,,,
108,85858025,4881686,CCOC1=C(C=C(C=C1)C(C)NC(=O)CC2=CC=CC=C2F)OCC,Inactive,,,,44
109,85858026,2469698,COC1=CC=CC=C1N2CCN(CC2)CC3=C(C=CC4=C3C=CC(=C4)Br)O,Active,,,,75
110,85858027,2494792,CCCN1C(=O)NN=C1SCC(=O)NC2=C(C=CC(=C2)C(F)(F)F)Cl,Active,,,,94
111,85858028,4879349,CC(C(=O)NC1=C(C=CC(=C1)Cl)OC)N2CCN(CC2)S(=O)(=O)C3=CC=CC=C3F,Active,,,,66
112,85858029,4438635,CCN(C1CCS(=O)(=O)C1)C(=O)CSC2=NC3=C(C=C(C=C3C(=C2)C)C)C,Active,,,,82
113,85858030,3193684,CC1=CC=C(C=C1)C(C2=NN=NN2C3CCCC3)N(CC4=CC=CC=C4Cl)CC5=CC=CO5,Active,,,,78
114,85858031,1435051,CC1=CC=C(C=C1)C2=NOC(=O)N2CC(=O)NC3=CC=CC=C3C4=CC=CC=C4,Active,,,,86
115,85858032,3229175,C1CCC(C1)N2C(=NN=N2)C(C3=CN=CC=C3)N4CCN(CC4)C(C5=CC=CC=C5)C6=CC=CC=C6,Active,,,,59
116,85858033,3225289,CN1C2=C(C=C1C(=O)N(CCC3=CC(=C(C=C3)OC)OC)CC4=CC=CS4)SC=C2,Active,,,,97
117,85858034,3227266,C1CC2=C(C1)C=C(C=C2)NC3=C4CCCC4=NC5=NC=NN35,Active,,,,70
118,85858035,3227262,CC1=NC2=NC=NN2C(=C1)NC3=CC4=C(CCC4)C=C3,Inactive,,,,48
119,85858036,4284640,CC(C)OC(=O)C1=C(N=CC=C1)SCC(=O)NC2=C(C=C(C=C2)C(F)(F)F)Cl,Active,,,,88
120,85858037,4117861,C1CC1NC(=O)C2=CC=C(C=C2)CN3C(=O)C4=CC=CC=C4N=C3SCC5=CC(=CC=C5)Cl,Active,,,,70
121,85858038,4117860,C1CC1NC(=O)C2=CC=C(C=C2)CN3C(=O)C4=CC=CC=C4N=C3SCC5=CC(=CC=C5)[N+](=O)[O-],Active,,,,65
122,85858039,5162150,C1CC1N2C(=O)C3=CC=CC=C3N=C2SCC(=O)NC4=C(C=CC(=C4)C(F)(F)F)Cl,Active,,,,96
123,85858040,5309908,CCN1CCCC1CNC(=O)C2=CC3=C(S2)N(N=C3C4=CC=C(C=C4)Cl)C,Inactive,,,,20
124,85858041,44521959,CN1C2=C(C=C(S2)C(=O)NCCN(C)C)C(=N1)C3=CC=C(C=C3)Cl,Active,,,,81
125,85858042,20857618,CN1C2=C(C=C(S2)C(=O)NC3=CN=CC=C3)C(=N1)C4=CC=CC=C4F,Active,,,,82
126,85858043,20857598,CN1C2=C(C=C(S2)C(=O)NC3CCN(CC3)CC4=CC=CC=C4)C(=N1)C5=CC=CC=C5F,Inactive,,,,34
127,85858044,20856303,CN1C2=C(C=C(S2)C(=O)NCCN(C)CC3=CC=CC=C3)C(=N1)C4=CC(=CC=C4)OC,Inactive,,,,26
128,85858045,20856300,CN1C2=C(C=C(S2)C(=O)NC3=CN=CC=C3)C(=N1)C4=CC(=CC=C4)OC,Inactive,,,,34
129,85858046,20856297,CN1C2=C(C=C(S2)C(=O)NCCN3CCN(CC3)C4=CC=CC=C4F)C(=N1)C5=CC(=CC=C5)OC,Inactive,,,,40
130,85858047,4535722,CC(C)(C)C1CCC2=C(C1)C(=NO2)C(=O)NC3=C(C=CC(=C3)Cl)O,Active,,,,82
131,85858048,3235634,COC1=CC=CC=C1CNC(=O)CCN2C(=O)C3=C(C=CS3)NC2=O,Active,,,,75
132,85858049,15995152,COC1=CC=C(C=C1)CN2C(=O)C3=C(C=C(C=C3)C(=O)NC4CCN(CC4)CC5=CC=CC=C5)NC2=O,Inactive,,,,45
133,85858050,15987878,CCOC1=CC(=CC(=C1OCC)OCC)C(=O)NC2=CC3=C(C=C2)N=C(C=C3C)N4CCN(CC4)C,Active,,,,50
134,85858051,15998703,CC1=CC(=NC2=C1C=C(C=C2)NC(=O)CC3=CC(=CC=C3)C(F)(F)F)N4CCN(CC4)C,Active,,,,51
135,85858052,6621232,CC1=CC(=NC2=C1C=C(C=C2)NC(=O)C3=CC(=C(C(=C3)OC)OC)OC)N4CCN(CC4)C,Active,,,,79
136,85858053,44521960,CCN(CC)C1=NC2=C(C=C(C=C2)NC(=O)C3=CC(=O)C4=CC=CC=C4O3)C(=C1)C,Active,,,,67
137,85858054,5066861,CN1C(C(C2=CC(=C(C=C2C1=O)OC)OC)C(=O)NC3=CC4=C(C=C3)OCO4)C5=CC=C(C=C5)OC,Active,,,,54
138,85858055,4165479,CC1=C(C=C(C=C1)NC(=O)C2C(N(C(=O)C3=CC(=C(C=C23)OC)OC)C)C4=CC=C(C=C4)OC)F,Inactive,,,,26
139,85858056,4152946,CC1=CC(=C(C=C1)OC)NC(=O)C2C(N(C(=O)C3=CC=CC=C23)C)C4=CC=C(C=C4)OC,Inactive,,,,3
140,85858057,4677300,CN1C(C(C2=CC=CC=C2C1=O)C(=O)NC3=CC(=C(C=C3OC)OC)Cl)C4=CC=C(C=C4)OC,Active,,,,98
141,85858058,4146268,CC1=CC(=C(C=C1)NC(=O)C2C(N(C(=O)C3=CC=CC=C23)C)C4=CC=C(C=C4)OC)Br,Inactive,,,,2
142,85858059,9550693,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=O)C4=CC(=C(C=C4)OC)OC)C(=C2)C,Inactive,,,,23
143,85858060,44521961,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=O)C4=CC(=C(C=C4)OC)[N+](=O)[O-])C(=C2)C,Active,,,,93
144,85858061,3238387,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=O)C4=CC=C(O4)Br)C(=C2)C,Inactive,,,,13
145,85858062,16000527,CC1=CC(=NC2=C1C=C(C=C2)NC(=O)C3=CC(=CC=C3)[N+](=O)[O-])N4CCOCC4,Inactive,,,,37
146,85858063,6087983,CC1=CC(=NC2=C1C=C(C=C2)NC(=O)C3=CC(=O)C4=CC=CC=C4O3)N5CCCCC5,Inactive,,,,19
147,85858064,1085293,CC(=O)OC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=NC4=CC=CC=C4N3)OC,Inactive,,,,37
148,85858065,17386532,CC1=C(C=CC(=C1)C(=O)NC2=CC=C(C=C2)C3=NC4=CC=CC=C4N3)[N+](=O)[O-],Inactive,,,,47
149,85858066,3129243,CCCC(=O)NC(C1=CC=C(C=C1)C)C2=C(C3=C(C=CC=N3)C=C2)O,Inactive,,,,45
150,85858067,44521962,COC1=C(C=C2C(=C1)C(=NC(=N2)Cl)NC3=CC=NC=C3)OC.Cl,Inactive,,,,33
151,85858068,44521963,CN(C)C1=CC=C(C=C1)N2C(=NC(=NC23CCCC3)N)N.Cl,Inactive,,,,0
152,85858069,3147194,C1=CC(=CC=C1C=CC2=NC3=C(N2)C=C(C=C3)N)Cl,Active,,,,83
153,85858070,4252973,COC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3C(=N2)C(=O)NCCC4=CCCCC4,Active,,,,59
154,85858071,3983414,CC(C)C(C)(C#N)NC(=O)CSC1=NC2=C(S1)C=C(C=C2)[N+](=O)[O-],Active,,,,81
155,85858072,4021154,CC1=CC(=C(N1C(C)COC)C)C(=O)CSC2=NN=C(S2)NC3=CC=CC=C3,Active,,,,98
156,85858073,2088054,CC(C)N(C(C)C)C(=O)CSC1=NC2=C(C=CC(=C2)Cl)C(=O)N1CC3=CC=CC=C3,Active,,,,97
157,85858074,2108802,C1=CC(=C(C=C1F)C2=CSC(=N2)NC(=O)C3=CC(=CN=C3)Br)F,Inactive,,,,3
158,85858075,2489078,CC1=CC(=NC2=NC(=NN12)C(=O)NC3=C(C=CC(=C3)C(F)(F)F)N4CCOCC4)C,Active,,,,91
159,85858076,2161626,CC1=NN(C2=C1C=C(S2)C(=O)NC3=CC(=C(C(=C3)OC)OC)OC)C4=CC=CC(=C4)C(F)(F)F,Active,,,,50
160,85858077,2093172,CSC1=CC=CC(=C1)NC(=O)C2=CC3=CC=CC=C3OC2=O,Active,,,,75
161,85858078,2100178,C1CN(CCN1C(=O)CN2C=C(C=C(C2=O)Cl)C(F)(F)F)S(=O)(=O)C3=CC=C(C=C3)Cl,Active,,,,69
162,85858079,2089709,CCOC1=CC=C(C=C1)C2=C(SC(=N2)NC(=O)CC3=CC(=CC=C3)OC)C,Inactive,,,,28
163,85858080,2102663,CC1=C(N=C(S1)NC(=O)CC2=CC(=C(C=C2)OC)OC)C3=CC=C(C=C3)OC,Inactive,,,,22
164,85858081,3769438,CC1=C(C=CC(=C1)Cl)OC(C)C(=O)N2CCC3=CC=CC=C32,Active,,,,78
165,85858082,2400619,C1CCC(CC1)CNC(=O)C2=CC(=O)C3=CC=CC=C3O2,Active,,,,77
166,85858083,2408166,CCOC1=CC=C(C=C1)S(=O)(=O)N(C)C2=CC=C(C=C2)OCC(=O)NC3=NC=CS3,Inactive,,,,4
167,85858084,1287682,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC=C(S3)Cl)C(=O)NC4=NC=CS4,Inactive,,,,18
168,85858085,4015631,CC1CCC2=C(C1)SC=C2C(=O)N3CCC4=CC=CC=C4C3,Active,,,,75
169,85858086,2407176,C1=CC=C(C(=C1)NC(=O)C2=CC(=CN(C2=O)C3=CC=CC=C3F)C(=O)C4=C(C=CC(=C4)Cl)O)F,Active,,,,80
170,85858087,2368904,C1=CC(=CC=C1NC(=O)C2=CC(=CN(C2=O)C3=CC=C(C=C3)F)C(=O)C4=C(C=CC(=C4)Cl)O)F,Active,,,,98
171,85858088,2368813,CC1=CC(=C(C=C1)O)C(=O)C2=CN(C(=O)C(=C2)C(=O)NC3=CC=CC=C3C)C4=CC=CC=C4C,Active,,,,81
172,85858089,3613028,COC1=CC(=C(C=C1)O)C(=O)C2=CN(C(=O)C(=C2)C#N)C3=CC=C(C=C3)OC4=CC=CC=C4,Inactive,,,,20
173,85858090,5022519,C1CCC(CC1)N2C=C(C=C(C2=O)C#N)C(=O)C3=C(C=CC(=C3)Br)O,Inactive,,,,9
174,85858091,3269650,CC1=CC(=C(C=C1Cl)OC)N2C=C(C=C(C2=O)C#N)C(=O)C3=C(C=CC(=C3)Br)O,Inactive,,,,35
175,85858092,2344838,C1=CC(=CC(=C1)NC(=O)NC2=NC3=C(S2)C=C(C=C3)[N+](=O)[O-])C(F)(F)F,Active,,,,76
176,85858093,4169512,CCOC1=CC2=C(C=C1)C(=O)NC(O2)(C3=CC=CC=C3)C(F)(F)F,Active,,,,98
177,85858094,5233874,CC(C)OC1=CC2=C(C=C1)C(=O)NC(O2)(C3=CC=CC=C3)C(F)(F)F,Active,,,,98
178,85858095,2929884,CCCC(=O)NC(C1=CC=CS1)C2=CC(=C3C=CC=NC3=C2O)Cl,Active,,,,61
179,85858096,1129479,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3=CC(=C(C=C3OC)Cl)OC,Inactive,,,,17
180,85858097,3138767,CC(C)C(=O)NC(C1=CC=CS1)C2=CC(=C3C=CC=NC3=C2O)Cl,Active,,,,91
181,85858098,3108369,C1=CC=C2C(=C1)NC(=N2)C3=CC=C(C=C3)NC(=O)C4=CC(=CC=C4)[N+](=O)[O-],Active,,,,56
182,85858099,44521964,CC1=CC=C(C=C1)NC2=NC3=CC=CC=C3C(=N2)N.Cl,Inactive,,,,12
183,85858100,44521965,CC1=CC(=CC=C1)NC2=NC3=CC=CC=C3C(=N2)N.Cl,Inactive,,,,49
184,85858101,16798777,C1=CC=C2C(=C1)C(=NC(=N2)NC3=CC=C(C=C3)F)NCCO.Cl,Active,,,,73
185,85858102,6602553,C1CC(OC1)CNC2=NC(=NC3=CC=CC=C32)NC4=CC(=CC=C4)O.Cl,Active,,,,87
186,85858103,43815690,C1CN(CCC1C(=O)N2CCC3=CC=CC=C3C2)C4=NN=NN4C5=CC=CC=C5,Active,,,,97
187,85858104,3138754,CC(C)C(=O)NC(C1=CC=C(C=C1)N(C)C)C2=CC(=C3C=CC=NC3=C2O)Cl,Active,,,,64
188,85858105,1084380,CC1=CC=CN2C1=NC(=C2)C3=CC(=CC=C3)NC(=O)C4=CC(=C(C(=C4)OC)OC)OC,Active,,,,77
