PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PCT_INHIB_DD2
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percent inhibition of P. falciparum Dd2 growth.
RESULT_UNIT,,,,,,,,PERCENT
8557,85866474,44531187,COC1=C(C(=CC(=C1)CC2=CN=C(N=C2N)N)OCCCN3C(=O)C4=CC=CC=C4C3=O)OC,Inactive,,,,-3
8558,85866475,44531188,CCC1=C(C(=NC(=N1)N)N)C2=CC3=C(CCCC3)C=C2,Inactive,,,,-5
8559,85866476,10945514,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)C(C)(C)C,Inactive,,,,-5
8560,85866477,44531189,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)C(C)C,Inactive,,,,-4
8561,85866478,44531190,CCCCCCOC1=CC=C(C=C1)N2C(=NC(=NC2(C)C)N)N.Cl,Inactive,,,,0
8562,85866479,44531191,CCC1=C(C(=NC(=N1)N)N)C2=CC(=C(C=C2)F)F,Inactive,,,,-1
8563,85866480,10060600,CCC1=C(C(=NC(=N1)N)N)C2=CC(=CC=C2)Cl,Inactive,,,,1
8564,85866481,44531192,CC1=C(C(=NC(=N1)N)N)C2=CC(=C(C=C2)Br)Br,Inactive,,,,1
8565,85866482,19705129,COCC1=C(C(=NC(=N1)N)N)C2=CC(=C(C=C2)Cl)Cl,Inactive,,,,1
8566,85866483,134623,CC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Br,Inactive,,,,1
8567,85866484,13926968,CC1=C(C(=NC(=N1)N)N)C2=CC(=CC=C2)Cl,Inactive,,,,-1
8568,85866485,44531193,CC1=C(C(=NC(=N1)N)N)OC2=CC(=CC=C2)Cl.OS(=O)(=O)O,Inactive,,,,-3
8569,85866486,44531195,CC1=C(C(=C(C(=N1)C)Br)OC(=O)N(C)CCNC)C2=CC=C(C=C2)OC3=CC=C(C=C3)OC(F)(F)F.Cl,Active,,,,98
8570,85866487,44531197,CC1=C(NC(=C(C1=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)Cl)C)C,Active,,,,95
8571,85866488,44531198,C[C@]12CC[C@@H]3[C@]([C@@H]1CCC4C2=CC(=O)CC4)(COC(O3)(C)C)C,Active,,,,95
8572,85866489,44531199,CC1=C(C(=C(C(=N1)C)Cl)OC(=O)C2=CC=CC=C2)C3=CC=C(C=C3)OC4=CC=C(C=C4)OC(F)(F)F,Active,,,,97
8573,85866490,44531200,CC1=C(C(=C(C(=N1)C)Cl)OC(=O)C)C2=CC=C(C=C2)OC3=CC=C(C=C3)Cl,Active,,,,96
8574,85866491,44531201,CC1=C(C(=C(C(=N1)C)Cl)OC(=O)C2=CC=C(C=C2)CN(C)C)C3=CC=C(C=C3)OC4=CC=C(C=C4)OC(F)(F)F,Active,,,,98
8575,85866492,44531202,CC1=C(C(=C(C(=N1)C)Br)OC(=O)C)C2=CC=C(C=C2)OC3=CC=C(C=C3)OC(F)(F)F,Active,,,,97
8576,85866493,44531203,CC1=C(C(=C(C(=N1)C)Cl)OC(=O)N(C)CCNC)C2=CC=C(C=C2)OC3=CC=C(C=C3)OC(F)(F)F.Cl,Active,,,,96
8577,85866494,20080846,CC1=C(C(=C(C(=N1)C)Cl)OC(=O)C)C2=CC=C(C=C2)OC3=CC=C(C=C3)OC(F)(F)F,Active,,,,98
8578,85866495,21689899,CC1=C(C(=NC(=N1)N)N)C2=CC(=C(C(=C2)Cl)N)Cl,Inactive,,,,2
8579,85866496,44531205,CC1=C(C(=O)C(=C(N1)C)I)C2=CC=C(C=C2)OC3=CC=C(C=C3)OC(F)(F)F,Active,,,,96
8580,85866497,20080831,CC1=C(C(=O)C(=C(N1)C)Br)C2=CC=C(C=C2)OC3=CC(=CC=C3)OC(F)(F)F,Active,,,,96
8581,85866498,20080778,CC1=C(C(=O)C(=C(N1)C)Cl)C2=CC=C(C=C2)OC3=CC(=CC=C3)OC(F)(F)F,Active,,,,97
8582,85866499,20080781,CC1=CC(=O)C(=C(N1)C)C2=CC=C(C=C2)OC3=CC=C(C=C3)OC(F)(F)F,Active,,,,61
8583,85866500,44531206,CC1=C(C(=O)C(=C(N1)C)Cl)C2=CC=C(C=C2)OC3=CC(=CC(=C3)Cl)Cl,Active,,,,96
8584,85866501,44531207,CC1=C(C(=O)C(=C(N1)C)Br)C2=CC=C(C=C2)OC3=CC(=CC(=C3)Cl)Cl,Active,,,,97
8585,85866502,44531208,CC1=C(C(=O)C(=C(N1)C)I)C2=CC=C(C=C2)OC3=CC=C(C=C3)Cl,Inactive,,,,49
8586,85866503,24858634,CC1=C(C(=O)C(=C(N1)C)Br)C2=CC=C(C=C2)OC3=CC(=CC=C3)Cl,Active,,,,97
8587,85866504,24858486,CC1=C(C(=O)C(=C(N1)C)Cl)C2=CC=C(C=C2)OC3=CC(=CC=C3)Cl,Active,,,,97
8588,85866505,44531209,CC1=C(C(=O)C(=C(N1)C)Cl)C2=CC=C(C=C2)OC3=CC(=C(C=C3)Cl)Cl,Active,,,,97
8589,85866506,44531210,CC1=C(C(=O)C(=C(N1)C)Br)C2=CC=C(C=C2)OC3=CC(=C(C=C3)Cl)Cl,Active,,,,96
8590,85866507,21689932,CC1=C(C(=NC(=N1)N)N)C2=CC(=C(C(=C2)Cl)Cl)Cl,Inactive,,,,0
8591,85866508,44531211,CC1=CC(=O)C(=C(N1)C)C2=CC=C(C=C2)OCC3=CC=C(C=C3)Cl,Active,,,,76
8592,85866509,20080770,CC1=C(C(=O)C(=C(N1)C)Br)C2=CC=C(C=C2)OC3=CC=C(C=C3)S(=O)C,Active,,,,64
8593,85866510,44531212,CC1=CC(=O)C(=C(N1)C)C2=CC=C(C=C2)OC3=CC=C(C=C3)OC,Active,,,,88
8594,85866511,20080801,CC1=C(C(=O)C(=C(N1)C)Br)C2=CC=C(C=C2)OC3=CC=C(C=C3)F,Active,,,,98
8595,85866512,20080884,CC1=CC(=O)C(=C(N1)C)C2=CC=C(C=C2)SC3=CC=C(C=C3)Cl,Active,,,,84
8596,85866513,20080899,CC1=C(C(=O)C(=C(N1)C)Br)C2=CC=C(C=C2)SC3=CC=C(C=C3)Cl,Active,,,,97
8597,85866514,20080845,CC1=C(C(=O)C(=C(N1)C)Br)C2=CC=C(C=C2)OC3=CC=CC(=C3)C(F)(F)F,Active,,,,97
8598,85866515,20080769,CC1=C(C(=O)C(=C(N1)C)Br)C2=CC=C(C=C2)OC3=CC=C(C=C3)C(F)(F)F,Active,,,,97
8599,85866516,20080839,CC1=C(C(=O)C(=C(N1)C)Br)C2=CC=C(C=C2)C(=O)C3=CC=C(C=C3)Cl,Active,,,,95
8600,85866517,20080898,CC1=C(C(=O)C(=C(N1)C)Cl)C2=CC=C(C=C2)C3=CC=C(C=C3)F,Active,,,,96
8601,85866518,20080784,CC1=C(C(=O)C(=C(N1)C)Br)C2=CC(=C(C=C2)OC3=CC=C(C=C3)Cl)Cl,Active,,,,96
8602,85866519,20080863,CC1=C(C(=O)C(=C(N1)C)Br)C2=CC=C(C=C2)OC3=CC=CC=C3,Active,,,,97
8603,85866520,20080841,CC1=C(C(=O)C(=C(N1)C)Br)C2=CC(=CC=C2)OC3=CC=C(C=C3)Cl,Active,,,,97
8604,85866521,44531213,CC1=C(C(=O)C(=C(N1)C)Cl)C2=CC=C(C=C2)S(=O)(=O)C3=CC=C(C=C3)Cl,Active,,,,96
8605,85866522,20080906,CC1=C(C(=O)C(=C(N1)C)Cl)C2=CC=C(C=C2)C(=O)C3=CC=C(C=C3)Cl,Active,,,,95
8606,85866523,20080888,CC1=C(C(=O)C(=C(N1)C)Br)C2=CC=C(C=C2)S(=O)(=O)C3=CC=C(C=C3)Cl,Active,,,,97
